項番,基準名,レベル,axe-core,Pa11y,Lighthouse,ARIA Snapshot
1.1.1,非テキストコンテンツ,A,○,○,○,DIY
1.2.1,音声のみ及び映像のみ (収録済),A,×,△,×,×
1.2.2,キャプション (収録済),A,×,△,×,×
1.2.3,音声解説又はメディアに対する代替 (収録済),A,×,△,×,×
1.2.4,キャプション (ライブ),AA,×,△,×,×
1.2.5,音声解説 (収録済),AA,×,△,×,×
1.2.6,手話 (収録済),AAA,×,×,×,×
1.2.7,拡張音声解説 (収録済),AAA,×,×,×,×
1.2.8,メディアに対する代替 (収録済),AAA,×,×,×,×
1.2.9,音声のみ (ライブ),AAA,×,×,×,×
1.3.1,情報及び関係性,A,○,○,○,DIY
1.3.2,意味のあるシーケンス,A,△,△,△,DIY
1.3.3,感覚的な特徴,A,×,△,×,×
1.3.4,表示の向き,AA,○,×,×,×
1.3.5,入力目的の特定,AA,○,△,○,DIY
1.3.6,目的の特定,AAA,×,×,×,×
1.4.1,色の使用,A,△,△,×,×
1.4.2,音声の制御,A,×,△,×,×
1.4.3,コントラスト (最低限),AA,○,○,○,×
1.4.4,テキストのサイズ変更,AA,△,△,×,×
1.4.5,文字画像,AA,△,△,×,×
1.4.6,コントラスト (高度),AAA,○,○,○,×
1.4.7,小さな背景音又は背景音なし,AAA,×,×,×,×
1.4.8,視覚的提示,AAA,×,△,×,×
1.4.9,文字画像 (例外なし),AAA,×,×,×,×
1.4.10,リフロー,AA,△,×,×,×
1.4.11,非テキストのコントラスト,AA,○,×,○,×
1.4.12,テキストの間隔,AA,○,×,×,×
1.4.13,ホバー又はフォーカスで表示されるコンテンツ,AA,×,×,×,×
2.1.1,キーボード,A,○,△,○,DIY
2.1.2,キーボードトラップなし,A,○,×,○,DIY
2.1.3,キーボード (例外なし),AAA,○,×,○,DIY
2.1.4,文字キーのショートカット,A,×,×,×,×
2.2.1,タイミング調整可能,A,×,△,△,×
2.2.2,一時停止、停止、非表示,A,×,△,×,×
2.2.3,タイミング非依存,AAA,×,×,×,×
2.2.4,割り込み,AAA,×,×,×,×
2.2.5,再認証,AAA,×,×,×,×
2.2.6,タイムアウト,AAA,×,×,×,×
2.3.1,3回の閃光又は閾値以下,A,×,×,×,×
2.3.2,3回の閃光,AAA,×,×,×,×
2.3.3,インタラクションによるアニメーション,AAA,×,×,×,×
2.4.1,ブロックスキップ,A,○,△,○,DIY
2.4.2,ページタイトル,A,○,○,○,DIY
2.4.3,フォーカス順序,A,○,×,○,DIY
2.4.4,リンクの目的 (コンテキスト内),A,○,○,○,DIY
2.4.5,複数の手段,AA,×,×,×,×
2.4.6,見出し及びラベル,AA,○,○,○,DIY
2.4.7,フォーカスの可視化,AA,△,×,△,DIY
2.4.8,現在位置,AAA,×,×,×,×
2.4.9,リンクの目的 (リンクのみ),AAA,○,○,○,DIY
2.4.10,セクション見出し,AAA,○,○,○,DIY
2.5.1,ポインタのジェスチャ,A,×,×,×,×
2.5.2,ポインタのキャンセル,A,×,×,×,×
2.5.3,ラベルを含む名前,A,○,×,○,DIY
2.5.4,動きによる起動,A,×,×,×,×
2.5.5,ターゲットのサイズ,AAA,×,×,×,×
2.5.6,入力メカニズムの共存,AAA,△,×,×,×
3.1.1,ページの言語,A,○,○,○,DIY
3.1.2,一部分の言語,AA,○,△,○,DIY
3.1.3,一般的ではない用語,AAA,×,×,×,×
3.1.4,略語,AAA,×,×,×,×
3.1.5,読解レベル,AAA,×,×,×,×
3.1.6,発音,AAA,×,×,×,×
3.2.1,フォーカス時,A,×,△,×,×
3.2.2,入力時,A,△,×,△,×
3.2.3,一貫したナビゲーション,AA,×,△,×,×
3.2.4,一貫した識別性,AA,○,△,○,DIY
3.2.5,要求による変化,AAA,×,×,×,×
3.3.1,エラーの特定,A,△,△,△,DIY
3.3.2,ラベル又は説明,A,○,○,○,DIY
3.3.3,エラー修正の提案,AA,×,△,×,×
3.3.4,誤り防止 (法的、金融、データ),AA,×,△,×,×
3.3.5,ヘルプ,AAA,×,×,×,×
3.3.6,誤り防止 (すべて),AAA,×,×,×,×
4.1.1,構文解析,A,○,○,○,×
4.1.2,名前・役割・値,A,○,○,○,DIY
4.1.3,ステータスメッセージ,AA,△,×,×,×
